stnNm,tm,avgTa,minTa,maxTa,sumRn,avgTs
원주,2011-01-14,-6.5,-11.9,-0.7,0.6,-4.8
원주,2011-01-14,-6.5,-11.9,-0.7,0.6,-4.8
원주,2011-01-14,-6.5,-11.9,-0.7,0.6,-4.8
원주,2011-01-16,-14.1,-17.9,-9.4,0,-10.4
원주,2011-01-16,-14.1,-17.9,-9.4,0,-10.4
원주,2011-01-18,-8.5,-15.9,-2.0,0,-8.2
원주,2012-06-06,23.5,18.7,29.5,0,30.4
원주,2014-07-18,26.0,21.7,31.8,2.5,28.9
원주,2014-07-21,28.2,24.1,33.5,0,31.7
원주,2015-03-02,3.2,-3.7,9.8,0,2.8
원주,2015-03-02,3.2,-3.7,9.8,0,2.8
원주,2017-02-20,1.5,-3.7,6.1,4.2,1.8
원주,2017-05-08,17.0,7.9,23.9,0,21.2
원주,2018-01-01,-2.7,-8.0,2.9,0,-2.2
원주,2018-01-19,0.9,-2.3,5.2,0,-0.2
원주,2018-01-27,-10.1,-17.4,-3.5,0,-7.0
원주,2018-01-29,-7.6,-11.2,-3.9,0,-6.0
원주,2019-07-08,22.4,19.0,27.3,0.0,26.9
원주,2019-07-10,21.4,18.5,26.3,9.1,26.5
원주,2019-07-23,28.0,24.1,32.7,0.0,28.7
원주,2019-07-29,27.5,24.9,30.9,0,28.1
원주,2019-07-30,28.5,25.1,32.1,0,28.4
원주,2019-08-12,29.1,26.6,32.2,0.0,28.6
원주,2019-08-28,24.2,21.7,27.8,0.0,24.9
원주,2019-09-03,21.4,19.9,23.0,0.1,23.2
원주,2019-09-03,21.4,19.9,23.0,0.1,23.2
원주,2019-09-03,21.4,19.9,23.0,0.1,23.2
원주,2019-09-09,23.5,22.0,25.3,4.2,25.2
원주,2019-09-09,23.5,22.0,25.3,4.2,25.2
원주,2019-10-25,16.1,10.6,21.4,0.0,16.7
원주,2019-11-18,6.6,1.5,14.2,23.1,6.7
원주,2019-12-12,0.0,-3.5,3.7,0,-0.4
원주,2020-02-24,6.0,-1.1,13.1,0,4.1
원주,2020-02-27,6.2,2.8,10.5,0.0,7.3
원주,2020-03-23,10.2,2.7,17.3,0,11.6
원주,2020-06-01,20.1,16.2,25.5,1.8,26.1
원주,2020-06-10,26.0,21.0,32.5,7.9,33.3
원주,2020-06-10,26.0,21.0,32.5,7.9,33.3
원주,2020-06-11,26.4,21.8,31.9,1.3,31.3
원주,2020-06-26,21.8,19.2,26.2,1.3,22.8
원주,2020-07-08,25.7,20.6,30.8,0,33.1
원주,2020-08-04,26.3,23.0,30.7,29.8,28.5
원주,2020-08-06,24.6,23.2,26.8,56.5,24.7
원주,2020-08-14,27.8,26.4,31.0,10.2,28.1
원주,2020-08-18,27.0,23.6,31.7,0,29.8
원주,2020-08-25,29.0,24.0,34.4,0.0,30.4
원주,2020-09-03,22.6,20.4,25.9,40.0,24.4
원주,2020-09-10,21.2,17.4,25.8,0,23.9
원주,2020-09-22,17.7,12.6,23.6,0,21.1
원주,2020-09-28,17.8,12.0,24.8,0,23.2
원주,2020-09-28,17.8,12.0,24.8,0,23.2
원주,2020-09-29,17.3,12.0,23.3,0,20.8
원주,2020-11-26,4.0,-0.4,10.3,0,3.2
원주,2020-12-04,-1.7,-6.0,3.7,0,-0.8
원주,2020-12-17,-7.8,-14.6,-2.3,0,-3.4
원주,2020-12-24,3.5,-0.6,6.9,0.0,0.3
