stnNm,tm,avgTa,minTa,maxTa,sumRn,avgTs
광주,2011-01-07,-3.7,-7.5,0.4,0,0.4
광주,2011-01-13,-3.0,-8.4,2.6,0,-0.5
광주,2011-01-17,-4.6,-8.6,-0.3,0.0,-0.7
광주,2011-01-18,-3.6,-7.4,-0.5,0.0,-0.7
광주,2011-01-21,-3.8,-6.9,0.7,0,-0.6
광주,2012-01-09,2.2,-1.6,7.2,0,2.1
광주,2012-06-07,23.8,19.1,30.9,0,31.3
광주,2012-06-07,23.8,19.1,30.9,0,31.3
광주,2012-06-22,25.0,20.1,31.1,0,27.4
광주,2013-01-10,-4.0,-7.6,0.7,0,-1.0
광주,2014-01-13,-2.5,-6.2,2.6,0,-0.1
광주,2014-05-26,21.4,17.3,26.7,1.5,26.3
광주,2014-05-30,24.9,16.5,33.5,0,31.3
광주,2015-01-13,3.3,-3.1,9.3,0,2.5
광주,2015-06-23,24.3,19.0,29.9,0,28.2
광주,2016-01-22,-2.8,-6.5,1.1,0,-1.5
광주,2016-01-23,-5.8,-8.4,-3.2,4.2,-1.6
광주,2016-01-25,-5.5,-11.2,-1.5,0.2,-1.2
광주,2016-02-01,-2.2,-4.0,0.7,0,-2.4
광주,2016-03-03,10.0,1.5,18.3,0,8.0
광주,2016-06-24,22.2,20.4,25.6,60.1,22.4
광주,2017-01-03,5.7,1.4,11.5,0,2.4
광주,2017-01-03,5.7,1.4,11.5,0,2.4
광주,2017-04-03,11.8,3.6,21.3,0,14.0
광주,2017-04-20,12.6,10.2,18.1,0.8,13.6
광주,2017-05-20,21.2,14.7,28.5,0,26.8
광주,2017-05-23,22.2,16.8,26.9,0.0,28.1
광주,2017-05-28,22.1,15.0,30.3,0,30.7
광주,2017-05-31,22.5,19.5,25.5,2.9,25.2
광주,2017-06-18,25.2,18.8,34.1,0,35.3
광주,2017-06-24,24.6,21.5,32.0,0,27.6
광주,2017-06-26,23.5,21.5,28.7,13.6,26.8
광주,2018-01-03,0.2,-2.5,3.8,0,-0.3
광주,2018-01-16,4.8,1.8,8.0,16.1,2.8
광주,2018-01-16,4.8,1.8,8.0,16.1,2.8
광주,2018-01-29,-3.9,-6.5,0.3,0.0,-2.4
광주,2018-02-14,5.9,-1.0,14.2,0,3.1
광주,2018-08-06,30.8,26.1,37.7,0.0,41.5
광주,2018-08-22,30.2,24.4,36.6,0.0,36.9
광주,2019-01-23,4.4,0.6,10.0,0,2.4
광주,2019-05-22,20.2,12.4,28.5,0,24.4
광주,2019-05-23,22.2,15.2,30.5,0,27.3
광주,2019-07-03,23.3,19.1,29.0,0,25.8
광주,2019-07-06,26.9,21.6,32.8,0,32.4
광주,2019-07-08,23.4,20.2,28.8,0.0,28.6
광주,2019-07-08,23.4,20.2,28.8,0.0,28.6
광주,2019-11-04,14.7,9.8,20.9,0,16.8
광주,2020-02-03,2.0,-1.3,6.6,0.0,3.1
광주,2020-06-04,24.9,20.2,31.4,0,32.9
광주,2020-10-28,15.1,10.7,20.9,0,17.8
