stnNm,tm,avgTa,minTa,maxTa,sumRn,avgTs
충주,2012-06-20,24.7,19.2,31.6,0,29.2
충주,2012-06-21,25.4,18.3,32.9,0,31.4
충주,2012-06-22,25.0,18.8,31.7,0,30.8
충주,2014-07-16,26.1,22.1,31.0,0.0,30.5
충주,2014-07-16,26.1,22.1,31.0,0.0,30.5
충주,2015-05-24,19.3,9.5,29.0,0,24.9
충주,2015-05-29,23.0,14.8,30.0,0,27.7
충주,2015-06-13,25.6,18.7,32.5,0.5,27.4
충주,2015-09-18,19.5,12.4,27.1,0,21.9
충주,2016-01-26,-5.0,-10.6,0.5,0.1,-2.0
충주,2016-02-07,-4.8,-12.1,3.8,0,-1.9
충주,2016-05-04,16.9,10.8,21.9,0,15.2
충주,2016-05-11,16.4,10.4,23.4,0.2,20.0
충주,2016-09-14,22.9,18.6,29.9,9.4,26.8
충주,2017-01-02,3.6,-0.6,8.8,0.1,2.6
충주,2017-01-02,3.6,-0.6,8.8,0.1,2.6
충주,2017-01-04,2.2,-3.4,9.9,0,3.0
충주,2017-01-13,-5.5,-9.8,-1.2,0.0,-1.4
충주,2017-01-16,-7.0,-13.6,2.5,0,-2.3
충주,2017-01-26,-4.5,-13.5,3.5,0,-1.7
충주,2017-01-27,-1.0,-7.3,4.5,2.0,0.7
충주,2017-01-28,-2.4,-10.8,5.6,0,-0.2
충주,2017-02-11,-5.4,-11.8,0.3,0,-0.5
충주,2017-03-16,4.8,-3.4,13.3,0,6.3
충주,2017-03-31,8.9,6.2,11.6,6.0,9.6
충주,2017-04-13,12.1,2.6,20.8,0,13.4
충주,2017-04-21,12.7,3.8,20.6,0,15.5
충주,2017-04-24,14.4,4.0,23.8,0,16.2
충주,2017-04-26,15.4,8.6,20.9,0,17.5
충주,2017-05-02,19.1,9.2,28.2,0,21.3
충주,2017-05-02,19.1,9.2,28.2,0,21.3
충주,2017-05-04,20.0,10.7,28.3,0,22.0
충주,2017-05-06,15.6,8.7,23.0,0,21.3
충주,2017-05-22,20.7,11.1,29.1,0,26.3
충주,2017-05-24,20.0,16.0,27.1,8.7,21.7
충주,2017-05-29,23.1,14.7,31.7,0,28.3
충주,2017-05-30,22.8,15.5,30.4,0,28.0
충주,2017-05-31,22.1,14.8,30.2,0,27.3
충주,2017-06-07,18.2,16.7,19.6,3.9,19.8
충주,2017-06-09,21.4,12.8,28.9,0,24.8
충주,2017-06-13,18.7,14.0,26.9,1.9,26.5
충주,2017-06-14,20.4,13.7,27.3,0,26.2
충주,2017-06-15,22.1,14.1,30.8,0,28.4
충주,2017-06-16,25.0,15.5,32.7,0,30.4
충주,2017-06-16,25.0,15.5,32.7,0,30.4
충주,2017-06-19,24.4,15.2,33.0,0,32.1
충주,2017-06-19,24.4,15.2,33.0,0,32.1
충주,2017-06-20,24.2,16.7,31.8,0,29.4
충주,2017-06-20,24.2,16.7,31.8,0,29.4
충주,2017-06-21,24.7,18.3,32.3,0,32.7
충주,2017-06-21,24.7,18.3,32.3,0,32.7
충주,2017-06-22,24.7,17.8,32.4,0,33.3
충주,2017-06-22,24.7,17.8,32.4,0,33.3
충주,2017-06-22,24.7,17.8,32.4,0,33.3
충주,2017-06-23,26.6,17.6,34.0,0,33.8
충주,2017-06-26,24.1,19.1,30.5,1.6,27.6
충주,2017-06-26,24.1,19.1,30.5,1.6,27.6
충주,2017-06-27,24.6,18.9,30.0,0.0,28.4
충주,2017-06-30,26.2,20.4,32.1,0,28.4
충주,2017-06-30,26.2,20.4,32.1,0,28.4
충주,2017-06-30,26.2,20.4,32.1,0,28.4
충주,2017-07-02,26.3,23.3,30.2,19.7,26.6
충주,2017-07-03,24.9,23.5,27.6,41.0,25.3
충주,2017-07-06,27.1,22.3,33.1,0,27.8
충주,2017-07-20,28.3,23.4,34.2,0,29.6
충주,2017-07-31,24.0,22.5,26.1,89.0,25.9
충주,2017-10-10,20.3,16.5,24.8,0,20.8
충주,2017-11-20,0.6,-5.4,5.4,0,1.8
충주,2017-11-21,-0.9,-5.1,8.0,0,2.6
충주,2017-11-23,-0.4,-6.0,5.3,0.1,2.3
충주,2017-12-01,-2.9,-9.7,3.1,0,0.3
충주,2017-12-07,1.2,-2.6,4.8,2.2,1.7
충주,2017-12-15,-3.5,-11.5,1.3,0,-2.0
충주,2017-12-15,-3.5,-11.5,1.3,0,-2.0
충주,2017-12-20,-4.0,-12.5,1.9,0.3,-2.3
충주,2017-12-21,-2.3,-6.5,3.0,0,-0.3
충주,2017-12-21,-2.3,-6.5,3.0,0,-0.3
충주,2017-12-22,-0.9,-8.0,6.5,0,-0.8
충주,2017-12-26,-3.5,-7.0,1.9,0,-1.2
충주,2018-01-03,-4.3,-9.6,0.4,0,-1.8
충주,2018-01-04,-5.3,-10.1,-0.5,0,-1.9
충주,2018-01-13,-6.6,-8.8,-3.6,0.4,-0.9
충주,2018-01-17,2.9,1.4,5.2,6.4,0.6
충주,2018-01-19,-0.9,-4.8,5.5,0,1.0
충주,2018-01-24,-13.0,-15.7,-9.2,0,-4.5
충주,2018-01-27,-10.6,-18.3,-2.5,0,-4.6
충주,2018-01-30,-6.2,-15.3,-0.4,0,-3.3
충주,2018-02-03,-6.4,-9.4,-2.8,0.2,-2.7
충주,2018-02-06,-10.4,-16.7,-5.0,0,-4.8
충주,2018-02-06,-10.4,-16.7,-5.0,0,-4.8
충주,2018-02-07,-10.1,-17.4,-2.1,0,-4.1
충주,2018-02-08,-7.4,-15.4,2.8,0,-2.5
충주,2018-02-10,-0.9,-6.1,6.0,0,0.2
충주,2018-02-12,-6.7,-13.7,-2.6,0.1,-2.3
충주,2018-02-14,3.6,-5.4,10.0,0,0.6
충주,2018-02-14,3.6,-5.4,10.0,0,0.6
충주,2018-02-15,-0.3,-6.0,6.5,0,1.9
충주,2018-02-17,-2.9,-6.4,2.5,0,0.9
충주,2018-02-17,-2.9,-6.4,2.5,0,0.9
충주,2018-02-17,-2.9,-6.4,2.5,0,0.9
충주,2018-02-19,-0.4,-8.4,7.3,0,0.7
충주,2018-03-21,1.4,0.1,5.5,2.7,3.6
충주,2018-03-22,4.2,-0.9,11.5,0.2,8.5
충주,2018-06-03,21.6,13.0,30.4,0,24.8
충주,2018-06-21,22.9,17.4,29.9,0,29.1
충주,2018-06-21,22.9,17.4,29.9,0,29.1
충주,2018-07-01,21.7,19.9,26.5,80.4,22.6
충주,2018-07-22,30.2,23.7,37.0,0,36.3
충주,2018-07-31,29.7,23.5,37.6,0,34.4
충주,2018-08-02,31.7,24.8,39.3,0,39.3
충주,2018-08-05,29.3,24.9,34.2,0.1,34.5
충주,2018-08-05,29.3,24.9,34.2,0.1,34.5
충주,2018-08-06,28.7,26.4,33.9,6.3,31.7
충주,2018-08-07,30.0,25.6,36.8,0,32.7
충주,2018-08-18,24.3,17.6,32.1,0,32.4
충주,2018-08-20,28.0,20.2,34.7,0,34.3
충주,2018-08-22,29.8,21.6,38.1,0,36.0
충주,2018-08-25,23.8,20.4,27.4,0.0,25.5
충주,2018-11-07,11.2,8.4,13.1,1.7,11.7
충주,2019-01-02,-6.6,-12.2,0.7,0,-3.7
충주,2019-01-28,0.2,-6.5,4.8,4.0,0.5
